無機化学Ⅰ
,,試験,合計
,総合評価割合,100,100,,
,基礎的能力,70,70,,
,専門的能力,30,30,,
,,,,,

分析化学
,,試験,合計
,総合評価割合,100,100,,
,基礎的能力,70,70,,
,専門的能力,30,30,,
,分野横断的能力,0,0,,
,,,,,

分析・無機化学実験
,,提出物,合計
,総合評価割合,100,100,,
,分析化学実験,50,50,,
,無機化学実験,50,50,,
,,,,,

